GENRE;ORDER;SPECIES;QUALITY;SOURCE;INFO1;INFO2;INFO3
Cnidaria;Siphonophora;Praya;;Oba,2021;Prayidae;;
Cnidaria;Siphonophora;Rosacea;;Oba,2021;Prayidae;;
Cnidaria;Siphonophora;Rhizophysa;;Oba,2021;Rhizophysa;;
Cnidaria;Siphonophora;Chuniphyes;;Haddocketal.,2010;Clausophyidae;;
Cnidaria;Siphonophora;Craseoa;;Haddocketal.,2010;Prayidae;;
Cnidaria;Siphonophora;Gymnopraia;;Haddocketal.,2010;Prayidae;;
Cnidaria;Siphonophora;Lensia;;Haddocketal.,2010;Diphyidae;;
Cnidaria;Siphonophora;Lilyopsis;;Haddocketal.,2010;Prayidae;;
Cnidaria;Siphonophora;Muggiaea;;Haddocketal.,2010;Diphyidae;;
Cnidaria;Siphonophora;Nectadamas;;Haddocketal.,2010;Prayidae;;
Cnidaria;Siphonophora;Sphaeronectes;;Haddocketal.,2010;Sphaeronectes;;
Cnidaria;Siphonophora;Bargmannia;;Haddocketal.,2010;Pyrostephidae;;
Cnidaria;Siphonophora;Erenna;;Haddocketal.,2010;Erennidae;;
Cnidaria;Siphonophora;Frillagalma;;Haddocketal.,2010;Agalmatidae;;
Cnidaria;Anthozoa;Acanella;;Oba,2021;Pennatulacea;Isididae;
Cnidaria;Anthozoa;Ishidella;;Oba,2021;;;
Cnidaria;Anthozoa;Keratoisis;;Oba,2021;Pennatulacea;Isididae;
Cnidaria;Anthozoa;Lepidisis;;Oba,2021;Pennatulacea;Isididae;
Cnidaria;Anthozoa;Primnoisis;;Oba,2021;Pennatulacea;Isididae;
Cnidaria;Anthozoa;Thouarella;;Oba,2021;Alcyonacea;Primnoidae;
Cnidaria;Anthozoa;Iridogorgia;;Oba,2021;Alcyonacea;Chrysogorgiidae;
Cnidaria;Anthozoa;Acanthogorgia;;Oba,2021;Alcyonacea;Acanthogorgiidae;
Cnidaria;Anthozoa;Anthomastus;;Oba,2021;Alcyonacea;Alcyoniidae;
Cnidaria;Anthozoa;Funiculina;;Oba,2021;Pennatulacea;Funiculinidae;
Cnidaria;Anthozoa;Pennatula;;Oba,2021;Pennatulacea;Pennatulidae;
Cnidaria;Anthozoa;Ptilosarcus;;Oba,2021;Pennatulacea;Pennatulidae;
Cnidaria;Anthozoa;Distichoptilum;;Oba,2021;Pennatulacea;Protoptilidae;
Cnidaria;Anthozoa;Pteroeides;;Oba,2021;Pennatulacea;Pennatulidae;
Cnidaria;Anthozoa;Renilla;;Oba,2021;Pennatulacea;Renillidae;
Cnidaria;Anthozoa;Stachyptilum;;Oba,2021;Pennatulacea;Stachyptilidae;
Cnidaria;Anthozoa;Umbellula;;Oba,2021;Pennatulacea;Umbellulidae;
Cnidaria;Anthozoa;Cavernularia;;Oba,2021;Pennatulacea;Veretillidae;
Cnidaria;Anthozoa;Veretillum;;Oba,2021;Pennatulacea;Veretillidae;
Cnidaria;Anthozoa;Acanthoptilum;;Oba,2021;Pennatulacea;Virgulariidae;
Cnidaria;Anthozoa;Stylatula;;Oba,2021;Pennatulacea;Virgulariidae;
Cnidaria;Anthozoa;Virgularia;;Oba,2021;Pennatulacea;Virgulariidae;
Cnidaria;Anthozoa;Epizoanthus;;Oba,2021;Zoantharia;Epizoanthidae;
Cnidaria;Anthozoa;Parazoanthus;;Oba,2021;Zoantharia;Parazoanthidae;
Cnidaria;Anthozoa;Savalia;;Oba,2021;Zoantharia;Parazoanthidae;
Cnidaria;Anthozoa;Eleutherobia;;WilliamsGC(2001)Proc.CariforniaAcad.Sci.17,209-225.;Alcyonacea;Alcyoniidae;
Cnidaria;Anthozoa;Actinoscyphia;;Johnsenetal.(2012)J.Exp.Biol.215,3335-3343.;Actiniaria;Actinoscyphiidae;
Cnidaria;Anthozoa;Parazoanthidaen.gen.;;Johnsenetal.(2012)J.Exp.Biol.215,3335-3343.;Zoantharia;Parazoanthidae;
Cnidaria;Anthozoa;Halipteris;;Johnsenetal.(2012)J.Exp.Biol.215,3335-3343.;Pennatulacea;Halipteridae;
Cnidaria;Anthozoa;Protoptilum;;Johnsenetal.(2012)J.Exp.Biol.215,3335-3343.;Pennatulacea;Protoptilidae;
Cnidaria;Anthozoa;Chrysogorgia;;Johnsenetal.(2012)J.Exp.Biol.215,3335-3343.;Alcyonacea;Chrysogorgiidae;
Cnidaria;Anthozoa;Heteropolypus;;Oba,2021;Alcyonacea;Alcyoniidae;Bathyaclyonrobustum(Bessho-Uehara,inpress)
Cnidaria;Anthozoa;Kophobelemnon;;Oba,2021;Alcyonacea;Alcyoniidae;Bathyaclyonrobustum(Bessho-Uehara,inpress)
Cnidaria;Anthozoa;Paragorgia;;Oba,2021;Actiniaria;Hormathiidae;Hormathiidaesp.(Bessho-Uehara,inpress)
Ctenophora;;Haeckelia;;Oba,2021;;;
Ctenophora;;Lampea;;Oba,2021;;;
Ctenophora;;Callianira;;Oba,2021;;;
Ctenophora;;Mertensia;;Oba,2021;;;
Ctenophora;;Bolinopsis;;Oba,2021;;;
Ctenophora;;Deiopea;;Oba,2021;;;
Ctenophora;;Mnemiopsis;;Oba,2021;;;
Ctenophora;;Eurhamphaea;;Oba,2021;;;
Ctenophora;;Leucothea;;Oba,2021;;;
Ctenophora;;Ocyropsis;;Oba,2021;;;
Ctenophora;;Cestum;;Oba,2021;;;
Ctenophora;;Velamen;;Oba,2021;;;
Ctenophora;;Beroe;;Oba,2021;;;
Ctenophora;;Aulacoctena;;Haddocketal.,2010;;;
Ctenophora;;Bathocyroe;;Haddocketal.,2010;;;
Ctenophora;;Bathyctena;;Haddocketal.,2010;;;
Ctenophora;;Charistephane;;Haddocketal.,2010;;;
Ctenophora;;Euplokamis;;Haddocketal.,2010;;;
Ctenophora;;Kiyohimea;;Haddocketal.,2010;;;
Ctenophora;;Thalassocalyce;;Haddocketal.,2010;;;
Nemertea;;Emplectonema;;Oba,2021;;;
Gastropoda;;Angiola;;Haddocketal.,2010;;;
Gastropoda;;Planaxis;;Haddocketal.,2010;;;
Gastropoda;;Hinea;;Oba,2021;H.brasiliana;;
Gastropoda;;Melanella;;Haddocketal.,2010;;;
Gastropoda;;Kaloplocamus;;Oba,2021;;;
Gastropoda;;Plocamopherus;;Oba,2021;;;
Gastropoda;;Kalinga;;Oba,2021;kalingaornata;;
Gastropoda;;Phylliroe;;Oba,2021;;;
Gastropoda;;Latia;;Oba,2021;;;
Gastropoda;;Quantula;;Oba,2021;;;
Gastropoda;;Dyakia;;Oba,2021;;;
Gastropoda;;Hemiplecta;;Oba,2021;;;
Bivalvia;;Gastrochaena;;Oba,2021;;;
Bivalvia;;Pholas;;Oba,2021;;;
Bivalvia;;Cucullaea;;Kosuge,2018;;;
Cephalopoda;Spirulida;Spirula;;Oba,2021;;;
Cephalopoda;Sepiolida;Euprymna;;Oba,2021;;;
Cephalopoda;;Heteroteuthis;;Oba,2021;;;
Cephalopoda;;Inioteuthis;;Oba,2021;FAO　luminatormaynotbe;;
Cephalopoda;;Iridoteuthis;;Oba,2021;;;
Cephalopoda;;Nectoteuthis;;Oba,2021;;;
Cephalopoda;;Rondeletiola;;Oba,2021;;;
Cephalopoda;;Semirossia;;Oba,2021;;;
Cephalopoda;;Sepiola;;Oba,2021;;;
Cephalopoda;;Sepiolina;;Oba,2021;;;
Cephalopoda;;Stoloteuthis;;Oba,2021;;;
Cephalopoda;;Amphorateuthis;;Oba,2021;;;
Cephalopoda;Teuthida;Loliolus;;Oba,2021;Loliginidae;;
Cephalopoda;Teuthida;Uroteuthis;;Oba,2021;Loliginidae;;
Cephalopoda;Teuthida;Lampadioteuthis;;Oba,2021;Lycoteuthidae;;
Cephalopoda;Teuthida;Lycoteuthis;;Oba,2021;Lycoteuthidae;;
Cephalopoda;Teuthida;Nematolampas;;Oba,2021;Lycoteuthidae;;
Cephalopoda;Teuthida;Selenoteuthis;;Oba,2021;Lycoteuthidae;;
Cephalopoda;Teuthida;Abralia;;Oba,2021;Enoploteuthidae;;
Cephalopoda;Teuthida;Abraliopsis;;Oba,2021;Enoploteuthidae;;
Cephalopoda;Teuthida;Ancistrocheirus;;Oba,2021;Enoploteuthidae;;
Cephalopoda;Teuthida;Enoploteuthis;;Oba,2021;Enoploteuthidae;;
Cephalopoda;Teuthida;Pterygioteuthis;;Oba,2021;Pyroteuthidae;;
Cephalopoda;Teuthida;Pyroteuthis;;Oba,2021;Pyroteuthidae;;
Cephalopoda;Teuthida;Ancistrocheirus;;Oba,2021;Ancistrocheiridae;;
Cephalopoda;Teuthida;Watasenia;;Oba,2021;Enoploteuthidae;;
Cephalopoda;Teuthida;Octopoteuthis;;Oba,2021;Octopoteuthidae;;
Cephalopoda;Teuthida;Taningia;;Oba,2021;Octopoteuthidae;;
Cephalopoda;Teuthida;Onychoteuthis;;Oba,2021;Onychoteuthidae;;
Cephalopoda;Teuthida;Cycloteuthis;;Oba,2021;Cycloteuthidae;;
Cephalopoda;Teuthida;Discoteuthis;;Oba,2021;Cycloteuthidae;;
Cephalopoda;Teuthida;Gonatus;;Oba,2021;Gonatidae;;
Cephalopoda;Teuthida;Histioteuthis;;Oba,2021;Histioteuthidae;;
