"Group" "Concept" "Biolum" "Habitat"
"25140" "Pteropoda" "Thliptodon" "bioluminescent" "pelagic"
"25338" "Fishes" "Antimora microlepis" "unlikely" "benthic"
"25651" "Siphonophora" "Bargmannia amoena" "bioluminescent" "pelagic"
"25679" "Appendicularia" "Bathochordaeus sp. A" "unlikely" "pelagic"
"25895" "Fishes" "Bothrocara brunneum" "unlikely" "benthic"
"26308" "Siphonophora" "Desmophyes annectens" "bioluminescent" "pelagic"
"26652" "Siphonophora" "Lensia" "bioluminescent" "pelagic"
"26965" "Fishes" "Oneirodes" "bioluminescent" "pelagic"
"26998" "Fishes" "Paraliparis" "undefined" "pelagic"
"27034" "Siphonophora" "Physophora hydrostatica" "non-bioluminescent" "pelagic"
"27165" "Fishes" "Pseudobathylagus milleri" "unlikely" "pelagic"
"27190" "Annelida" "Serpulidae" "undefined" "benthic"
"27302" "Fishes" "Talismania bifurcata" "undefined" "pelagic"
"27318" "Annelida" "Travisiopsis" "non-bioluminescent" "pelagic"
"28524" "Fishes" "Aristostomias scintillans" "bioluminescent" "pelagic"
"28611" "Ctenophora" "Bathyctena chuni" "bioluminescent" "pelagic"
"29156" "Hydromedusae" "Crossota alba" "bioluminescent" "pelagic"
"29852" "Annelida" "Flota vitjasi" "bioluminescent" "pelagic"
"31461" "Fishes" "Chiasmodon niger" "undefined" "pelagic"
"31462" "Hydromedusae" "Chromatonema rubrum" "undefined" "pelagic"
"31470" "Siphonophora" "Clausophyes moserae" "bioluminescent" "pelagic"
"31652" "Crustacea" "Munnopsurus" "unlikely" "pelagic"
"31739" "Hydromedusae" "Narcomedusae" "bioluminescent" "pelagic"
"31890" "Cephalopoda" "Abraliopsis" "bioluminescent" "pelagic"
"32783" "Ctenophora" "Aulacoctena" "bioluminescent" "pelagic"
"33441" "Fishes" "Cyema atrum" "non-bioluminescent" "pelagic"
"33973" "Hydromedusae" "Euphysora gigantea" "bioluminescent" "pelagic"
"33974" "Fishes" "Eurypharynx pelecanoides" "undefined" "pelagic"
"34088" "Thaliacea" "Helicosalpa" "non-bioluminescent" "pelagic"
"34980" "Fishes" "Stenobrachius leucopsarus" "bioluminescent" "pelagic"
"34987" "Hydromedusae" "Tetrorchis" "bioluminescent" "pelagic"
"36296" "Scyphozoa" "Aurelia aurita" "non-bioluminescent" "pelagic"
"36942" "Scyphozoa" "Chrysaora fuscescens" "non-bioluminescent" "pelagic"
