"Group" "Concept" "Biolum" "Habitat"
"1994910" "Hydroidolina" "Hydractinia" "bioluminescent" "benthic"
"2120410" "Holothuroidea" "Peniagone vitrea" "bioluminescent" "benthic"
"2246310" "Holothuroidea" "Peniagone" "likely" "benthic"
"2261810" "Octocorallia" "Protoptilum sp. 1" "undefined" "benthic"
"2281910" "Ascidiacea" "Pyuridae" "non-bioluminescent" "benthic"
"2317310" "Mollusca" "Bathybembix" "undefined" "benthic"
"2322610" "Holothuroidea" "Apostichopus leukothele" "undefined" "benthic"
"2328110" "Fishes" "Hippoglossina stomata" "undefined" "benthic"
"2328210" "Fishes" "Icelinus filamentosus" "undefined" "benthic"
"2328410" "Fishes" "Lumpenus sagitta" "undefined" "benthic"
"2328510" "Fishes" "Lyopsetta exilis" "undefined" "benthic"
"2335510" "Crustacea" "Pandalus platyceros" "non-bioluminescent" "benthic"
"2335610" "Fishes" "Parophrys vetulus" "undefined" "benthic"
"2335710" "Mollusca" "Pleurobranchaea californica" "undefined" "benthic"
"2336310" "Octocorallia" "Ptilosarcus gurneyi" "bioluminescent" "benthic"
"2336710" "Fishes" "Sebastes diploproa" "non-bioluminescent" "benthic"
"2336810" "Fishes" "Sebastes jordani" "non-bioluminescent" "benthic"
"2341610" "Fishes" "Sebastes elongatus" "non-bioluminescent" "benthic"
"2364410" "Octocorallia" "Anthoptilum grandiflorum" "undefined" "benthic"
"2385110" "Fishes" "Lepidopsetta bilineata" "undefined" "benthic"
"2389510" "Fishes" "Sebastes" "non-bioluminescent" "benthic"
"2389610" "Fishes" "Sebastes aurora" "non-bioluminescent" "benthic"
"2479810" "Cephalopoda" "Opisthoteuthis cf. californiana" "undefined" "benthic"
"2480810" "Crustacea" "Paralomis multispina" "undefined" "benthic"
"2486210" "Fishes" "Hydrolagus" "undefined" "benthic"
"2486410" "Fishes" "Lycodes cortezianus" "unlikely" "benthic"
"2486510" "Fishes" "Lycodes diapterus" "unlikely" "benthic"
"2488410" "Fishes" "Sebastes goodei" "non-bioluminescent" "benthic"
"2489010" "Fishes" "Sebastes levis" "non-bioluminescent" "benthic"
"2489310" "Fishes" "Sebastes melanostomus" "non-bioluminescent" "benthic"
"2490710" "Asterozoa" "Stylasterias forreri" "undefined" "benthic"
"2491010" "Octocorallia" "Virgulariidae" "undefined" "benthic"
"2503110" "Crustacea" "Lysianassidae" "undefined" "benthic"
"2508110" "Hexacorallia" "Actinoscyphia" "undefined" "benthic"
"2517910" "Holothuroidea" "Holothuroidea sp. 5" "undefined" "benthic"
"2518010" "Holothuroidea" "Holothuroidea sp. 4" "undefined" "benthic"
"2518110" "Hydroidolina" "Hydroidolina" "undefined" "benthic"
"2519110" "Crustacea" "Munidopsis sp. A" "non-bioluminescent" "benthic"
"2560310" "Porifera" "Chondrocladia sp. A" "non-bioluminescent" "benthic"
"2560410" "Hexacorallia" "Corallimorphus denhartogi" "non-bioluminescent" "benthic"
"2572910" "Holothuroidea" "Peniagone gracilis" "undefined" "benthic"
"2596210" "Hexacorallia" "Sicyonis" "undefined" "benthic"
"2600210" "Hexacorallia" "Actinostola" "undefined" "benthic"
"2600610" "Echinoidea" "Atelostomata" "non-bioluminescent" "benthic"
"2603710" "Fishes" "Entosphenus tridentatus" "non-bioluminescent" "benthic"
"2604710" "Crustacea" "Munidopsis bracteosa" "non-bioluminescent" "benthic"
"2604810" "Crustacea" "Munidopsis panamae" "non-bioluminescent" "benthic"
"2604910" "Crustacea" "Munidopsis lignaria" "non-bioluminescent" "benthic"
"2615710" "Holothuroidea" "Peniagone sp. 2" "undefined" "benthic"
"2649410" "Octocorallia" "Anthoptilum" "undefined" "benthic"
"2677310" "Hexacorallia" "Ceriantharia sp. 3" "non-bioluminescent" "benthic"
"2677810" "Octocorallia" "Halipteris californica" "bioluminescent" "benthic"
"2680410" "Asterozoa" "Mediaster aequalis" "undefined" "benthic"
"2684510" "Fishes" "Sebastes simulator" "non-bioluminescent" "benthic"
"2685710" "Fishes" "Sebastomus complex" "non-bioluminescent" "benthic"
"2699710" "Fishes" "Xeneretmus" "undefined" "benthic"
"2707510" "Fishes" "Beringraja binoculata" "undefined" "benthic"
"2714210" "Crinoidea" "Florometra serratissima" "undefined" "benthic"
"2715610" "Mollusca" "Gastropoda sp. 2" "undefined" "benthic"
"2722410" "Octocorallia" "Isidella" "bioluminescent" "benthic"
"2733910" "Fishes" "Lycodes pacificus" "unlikely" "benthic"
"2740410" "Asterozoa" "Myxoderma platyacanthum" "undefined" "benthic"
"2747610" "Fishes" "Pleuronectidae" "undefined" "benthic"
"2759110" "Fishes" "Raja rhina" "undefined" "benthic"
"2790610" "Fishes" "Xeneretmus latifrons" "undefined" "benthic"
"485211" "Hexacorallia" "Actinauge" "undefined" "benthic"
"485661" "Fishes" "Cataetyx" "undefined" "benthic"
"485721" "Crinoidea" "Comatulida" "undefined" "benthic"
"485771" "Fishes" "Coryphaenoides armatus-leptolepis-yaquinae complex" "undefined" "benthic"
"487311" "Hemichordata" "Hemichordata" "undefined" "benthic"
"487351" "Porifera" "Hyalonema" "non-bioluminescent" "benthic"
"488641" "Crustacea" "Penaeoidea" "undefined" "benthic"
"491861" "Holothuroidea" "Pseudostichopus mollis" "bioluminescent" "benthic"
"492121" "Holothuroidea" "Scotoplanes" "undefined" "benthic"
"497821" "Siphonophora" "Dromalia alexandri" "unlikely" "benthic"
"500171" "Ctenophora" "Pleurobrachiidae" "unlikely" "pelagic"
"517431" "Octocorallia" "Funiculina-Halipteris complex" "bioluminescent" "benthic"
"518341" "Fishes" "Rhinoliparis barbulifer" "undefined" "benthic"
"523581" "Mollusca" "Delectopecten" "undefined" "benthic"
"524091" "Crustacea" "Neolithodes diomedae" "undefined" "benthic"
"525181" "Holothuroidea" "Scotoplanes sp. A" "bioluminescent" "benthic"
"527011" "Hexacorallia" "Zoanthidea" "bioluminescent" "benthic"
"527311" "Fishes" "Macrourinae sp. 1" "undefined" "benthic"
"534041" "Asterozoa" "Thrissacanthias penicillatus" "undefined" "benthic"
"535741" "Fishes" "Bathyraja trachura" "undefined" "benthic"
"535851" "Fishes" "Careproctus kamikawai" "undefined" "benthic"
"538001" "Octocorallia" "Gersemia juliepackardae" "undefined" "benthic"
"540111" "Octocorallia" "Isidella tentaculum" "bioluminescent" "benthic"
"540141" "Octocorallia" "Isididae" "likely" "benthic"
"540151" "Octocorallia" "Keratoisis" "bioluminescent" "benthic"
"540261" "Holothuroidea" "Laetmogone" "bioluminescent" "benthic"
"540471" "Octocorallia" "Lepidisis" "likely" "benthic"
"540651" "Crustacea" "Lithodes couesi" "non-bioluminescent" "benthic"
"543061" "Octocorallia" "Paragorgiidae" "undefined" "benthic"
"543551" "Octocorallia" "Parastenella" "undefined" "benthic"
"545841" "Octocorallia" "Sibogagorgia cauliflora" "undefined" "benthic"
"546011" "Asterozoa" "Solaster hypothrissus" "undefined" "benthic"
"546021" "Asterozoa" "Solaster" "undefined" "benthic"
"546601" "Porifera" "Acanthascinae" "undefined" "benthic"
"546611" "Porifera" "Acanthascinae sp. 2" "undefined" "benthic"
"546641" "Porifera" "Acanthascinae sp. 1" "undefined" "benthic"
"546911" "Hexacorallia" "Exocoelactinidae" "undefined" "benthic"
"547011" "Porifera" "Hexactinellida sp. 5" "undefined" "benthic"
"547031" "Asterozoa" "Hippasteria californica" "undefined" "benthic"
"547171" "Mollusca" "Phreagena kilmeri" "undefined" "benthic"
"549261" "Asterozoa" "Asteronyx loveni" "undefined" "benthic"
"555101" "Hexacorallia" "Actinernidae" "undefined" "benthic"
"555721" "Porifera" "Cladorhiza sp. A-B complex" "non-bioluminescent" "benthic"
"555751" "Arthropoda" "Colossendeidae" "undefined" "benthic"
"556781" "Hexacorallia" "Iosactis vagabunda" "undefined" "benthic"
"556851" "Octocorallia" "Kophobelemnon biflorum" "undefined" "benthic"
"558291" "Holothuroidea" "Peniagone papillata" "undefined" "benthic"
"560831" "Hemichordata" "Tergivelum baldwinae" "undefined" "benthic"
"561201" "Asterozoa" "Asthenactis fisheri" "undefined" "benthic"
"566771" "Porifera" "Porifera sp. 3" "undefined" "benthic"
"568551" "Porifera" "Acanthascinae sp. 3" "undefined" "benthic"
"569711" "Asterozoa" "Asthenactis" "undefined" "benthic"
"569741" "Asterozoa" "Benthopecten" "bioluminescent" "benthic"
"570931" "Asterozoa" "Dipsacaster" "undefined" "benthic"
"573041" "Porifera" "Hexactinellida sp. 4" "non-bioluminescent" "benthic"
"574971" "Fishes" "Liparidae sp. 1" "undefined" "benthic"
"575681" "Crustacea" "Paguridae" "non-bioluminescent" "benthic"
"577101" "Fishes" "Porichthys" "bioluminescent" "benthic"
"577621" "Holothuroidea" "Psolus" "undefined" "benthic"
"579921" "Hexacorallia" "Trissopathes" "undefined" "benthic"
"582931" "Mollusca" "Aeolidiidae" "undefined" "benthic"
"583031" "Hemichordata" "Allapasus sp. 3" "undefined" "benthic"
"584481" "Asterozoa" "Benthopectinidae" "undefined" "benthic"
"584581" "Brachiopoda" "Brachiopoda" "non-bioluminescent" "benthic"
"588411" "Fishes" "Conocara salmonea" "undefined" "benthic"
"590871" "Ascidiacea" "Culeolus" "non-bioluminescent" "benthic"
"591901" "Porifera" "Farrea truncata complex" "non-bioluminescent" "benthic"
"594851" "Porifera" "Hexactinellida sp. 1" "non-bioluminescent" "benthic"
"595201" "Asterozoa" "Hippasteria lepidonotus" "undefined" "benthic"
"602831" "Crustacea" "Lithodoidea" "non-bioluminescent" "benthic"
"605821" "Asterozoa" "Ophiurida" "undefined" "benthic"
"611191" "Crustacea" "Phyllocarida" "undefined" "benthic"
"614121" "Hemichordata" "Saxipendium implicatum" "undefined" "benthic"
"621301" "Octocorallia" "Umbellula" "bioluminescent" "benthic"
"623301" "Fishes" "Careproctus filamentosus" "undefined" "benthic"
"625401" "Mollusca" "Dendronotidae" "undefined" "benthic"
"628321" "Octocorallia" "Heteropolypus" "bioluminescent" "benthic"
"629101" "Porifera" "Hexactinellida sp. 6" "non-bioluminescent" "benthic"
"629891" "Holothuroidea" "Laetmogonidae" "undefined" "benthic"
"631811" "Crustacea" "Paralithodes" "non-bioluminescent" "benthic"
"631831" "Crustacea" "Paralithodes rathbuni" "non-bioluminescent" "benthic"
"632521" "Octocorallia" "Parastenella gymnogaster" "undefined" "benthic"
"681691" "Arthropoda" "Colossendeis" "bioluminescent" "benthic"
"684381" "Hexacorallia" "Exocoelactis" "undefined" "benthic"
"685021" "Asterozoa" "Heterozonias alternatus" "undefined" "benthic"
"688611" "Hexacorallia" "Paracyathus stearnsii" "non-bioluminescent" "benthic"
"690711" "Octocorallia" "Acanella" "undefined" "benthic"
"697341" "Mollusca" "Pectinidae" "non-bioluminescent" "benthic"
"697371" "Asterozoa" "Poraniopsis" "undefined" "benthic"
"697851" "Fishes" "Rajiformes" "undefined" "benthic"
"698411" "Annelida" "Terebellidae" "undefined" "benthic"
"742631" "Holothuroidea" "Apostichopus californicus" "undefined" "benthic"
"743691" "Crustacea" "Platymera gaudichaudii" "undefined" "benthic"
"745031" "Fishes" "Sebastes saxicola" "non-bioluminescent" "benthic"
"746581" "Fishes" "Tetronarce californica" "undefined" "benthic"
"749721" "Annelida" "Levinsenia oculata" "undefined" "benthic"
"752991" "Fishes" "Alepocephalus tenebrosus" "undefined" "benthic"
"790051" "Annelida" "Levinsenia sp. A" "undefined" "benthic"
"800181" "Fishes" "Sebastolobus altivelis" "non-bioluminescent" "benthic"
"838751" "Porifera" "Cladorhiza" "non-bioluminescent" "benthic"
"839171" "Ascidiacea" "Cnemidocarpa finmarkiensis" "non-bioluminescent" "benthic"
"839891" "Fishes" "Eopsetta jordani" "undefined" "benthic"
"870651" "Fishes" "Pleuronichthys coenosus" "undefined" "benthic"
"876681" "Fishes" "Sebastes rubrivinctus" "non-bioluminescent" "benthic"
"877071" "Fishes" "Sebastes rufus" "non-bioluminescent" "benthic"
"886571" "Mollusca" "Tritonia" "non-bioluminescent" "benthic"
"886611" "Mollusca" "Tritoniidae" "non-bioluminescent" "benthic"
"889021" "Mollusca" "Doridacea" "undefined" "benthic"
"895291" "Fishes" "Sebastes babcocki" "non-bioluminescent" "benthic"
"895931" "Hexacorallia" "Stomphia didemon" "undefined" "benthic"
"897461" "Asterozoa" "Asteroidea sp. 1" "undefined" "benthic"
"897631" "Asterozoa" "Luidia foliolata" "undefined" "benthic"
"897771" "Cephalopoda" "Octopus californicus" "non-bioluminescent" "benthic"
"907581" "Fishes" "Chilara taylori" "undefined" "benthic"
"921941" "Fishes" "Ophiodon elongatus" "undefined" "benthic"
"927271" "Fishes" "Squalus suckleyi" "undefined" "benthic"
"933151" "Fishes" "Zaniolepis" "undefined" "benthic"
"1262691" "Asterozoa" "Ampheraster" "undefined" "benthic"
"1264271" "Octocorallia" "Holaxonia" "undefined" "benthic"
"1266791" "Porifera" "Porifera sp. 5" "undefined" "benthic"
"1267681" "Porifera" "Staurocalyptus solidus" "undefined" "benthic"
"1278601" "Asterozoa" "Brisinga" "likely" "benthic"
"1287641" "Porifera" "Mycale sp. 1" "undefined" "benthic"
"1292681" "Porifera" "Porifera sp. 2" "undefined" "benthic"
"1302361" "Mollusca" "Solemya" "non-bioluminescent" "benthic"
"1355291" "Octocorallia" "Anthomastus" "bioluminescent" "benthic"
"1355461" "Asterozoa" "Brisingidae" "undefined" "benthic"
"1355471" "Fishes" "Bythitidae" "undefined" "benthic"
"1355731" "Crinoidea" "Evoplosoma" "undefined" "benthic"
"1355771" "Crinoidea" "Florometra" "undefined" "benthic"
"1356051" "Crinoidea" "Hyocrinus" "undefined" "benthic"
"1356931" "Nemertea" "Nemertea" "unlikely" "benthic"
"1357171" "Crinoidea" "Pentametrocrinus" "undefined" "benthic"
"1357801" "Mollusca" "Aplysia californica" "undefined" "benthic"
"1358011" "Asterozoa" "Gorgonocephalus eucnemis" "undefined" "benthic"
"1358061" "Fishes" "Icelinus" "undefined" "benthic"
"1358561" "Asterozoa" "Pycnopodia helianthoides" "non-bioluminescent" "benthic"
"1358861" "Fishes" "Sebastes chlorostictus" "non-bioluminescent" "benthic"
"1360431" "Mollusca" "Neptunea amianta" "non-bioluminescent" "benthic"
"1363891" "Crustacea" "Paropsurus" "non-bioluminescent" "benthic"
"1364481" "Holothuroidea" "Psychropotes longicauda" "likely" "benthic"
"1391151" "Fishes" "Eptatretinae " "non-bioluminescent" "benthic"
"1396291" "Asterozoa" "Ampheraster marianus" "undefined" "benthic"
"1398301" "Porifera" "Hexactinella" "non-bioluminescent" "benthic"
"1398621" "Asterozoa" "Poraniopsis inflata" "undefined" "benthic"
"1400391" "Hexacorallia" "Enthemonae" "undefined" "benthic"
"1401511" "Mollusca" "Nuculana" "non-bioluminescent" "benthic"
"1403831" "Cephalopoda" "Opisthoteuthis sp. A" "undefined" "benthic"
"1404701" "Mollusca" "Archivesica gigas" "undefined" "benthic"
"1404891" "Mollusca" "Calyptogena pacifica" "non-bioluminescent" "benthic"
"1404901" "Mollusca" "Calyptogena" "non-bioluminescent" "benthic"
"1405491" "Annelida" "Cirratulidae" "undefined" "benthic"
"1407551" "Asterozoa" "Pseudarchaster dissonus" "undefined" "benthic"
"1408771" "Hemichordata" "Allapasus aurianticus" "undefined" "benthic"
"1408881" "Fishes" "Bathysaurus" "undefined" "benthic"
"1409681" "Hydroidolina" "Candelabridae" "undefined" "benthic"
"1409941" "Mollusca" "Dendronotus" "undefined" "benthic"
"1412751" "Annelida" "Paraonidae" "undefined" "benthic"
"1412891" "Annelida" "Phyllodocida" "undefined" "benthic"
"1413481" "Annelida" "Sabellariidae" "undefined" "benthic"
"1413931" "Annelida" "Vrijenhoekia balaenophila" "undefined" "benthic"
"1465681" "Annelida" "Dorvilleidae" "non-bioluminescent" "benthic"
"1466821" "Annelida" "Osedax rubiplumus" "non-bioluminescent" "benthic"
"1467721" "Annelida" "Vigtorniella" "undefined" "benthic"
"1468131" "Crustacea" "Diogenidae" "undefined" "benthic"
"1469391" "Mollusca" "Provanna" "undefined" "benthic"
"1474231" "Hexacorallia" "Actinernus" "undefined" "benthic"
"1474581" "Porifera" "Chondrocladia sp. 1" "non-bioluminescent" "benthic"
"1475191" "Cephalopoda" "Gonatopsis" "undefined" "pelagic"
"1475371" "Ctenophora" "Platyctenida" "unlikely" "benthic"
"1484001" "Octocorallia" "Narella" "undefined" "benthic"
"1488001" "Mollusca" "Tritonia sp. A" "undefined" "benthic"
"1488271" "Octocorallia" "Distichoptilum gracile" "likely" "benthic"
"1491971" "Crustacea" "Paralithodes californiensis" "non-bioluminescent" "benthic"
"1492471" "Fishes" "Careproctus ovigerus" "undefined" "benthic"
"1721811" "Fishes" "Hydrolagus trolli" "undefined" "benthic"
"1722461" "Asterozoa" "Mediaster tenellus" "undefined" "benthic"
"1729571" "Holothuroidea" "Cucumariidae" "undefined" "benthic"
"1736451" "Asterozoa" "Peribolaster biserialis" "undefined" "benthic"
"1738061" "Bryozoa" "Bryozoa" "non-bioluminescent" "benthic"
"1738441" "Crustacea" "Majidae" "undefined" "benthic"
"1741051" "Fishes" "Facciolella" "undefined" "pelagic"
"1743961" "Echinoidea" "Cystechinus loveni" "non-bioluminescent" "benthic"
"1744791" "Octocorallia" "Umbellula sp. 1" "likely" "benthic"
"1745111" "Octocorallia" "Kophobelemnidae" "undefined" "benthic"
"1745841" "Echinoidea" "Tromikosoma sp. 1" "undefined" "benthic"
"1752221" "Ascidiacea" "Octacnemidae" "non-bioluminescent" "benthic"
"1752321" "Crustacea" "Paropsurus giganteus" "non-bioluminescent" "benthic"
"1753861" "Porifera" "Rossellidae" "non-bioluminescent" "benthic"
"1754011" "Fishes" "Alepocephalus" "undefined" "benthic"
"1754771" "Fishes" "Eucryphycus californicus" "unlikely" "benthic"
"1755851" "Fishes" "Engraulis mordax" "non-bioluminescent" "pelagic"
"1757461" "Annelida" "Glyceridae" "non-bioluminescent" "benthic"
"1760971" "Annelida" "Spionida" "undefined" "benthic"
"1763971" "Crustacea" "Brachyura" "undefined" "benthic"
"1768021" "Echinoidea" "Echinidea" "non-bioluminescent" "benthic"
"1769571" "Appendicularia" "Mesochordaeus erythrocephalus" "undefined" "pelagic"
"1770301" "Asterozoa" "Ophiuridae" "undefined" "benthic"
"1802921" "Asterozoa" "Anteliaster" "undefined" "benthic"
"1803271" "Echinoidea" "Araeosoma leptaleum" "non-bioluminescent" "benthic"
"1804671" "Asterozoa" "Astropectinidae" "undefined" "benthic"
"1810201" "Porifera" "Farrea occa" "non-bioluminescent" "benthic"
"1825171" "Asterozoa" "Hymenaster koehleri" "bioluminescent" "benthic"
"1869891" "Crustacea" "Lepadidae" "undefined" "benthic"
"1870041" "Asterozoa" "Lophaster furcilliger" "undefined" "benthic"
"1871031" "Asterozoa" "Myxoderma sacculatum" "undefined" "benthic"
"1878651" "Crinoidea" "Pentametrocrinus paucispinulus" "undefined" "benthic"
"1884421" "Asterozoa" "Peribolaster" "undefined" "benthic"
"1886911" "Hemichordata" "TorquaratoridaeB sp. 1" "undefined" "benthic"
"1901601" "Crustacea" "Lepadomorpha" "undefined" "benthic"
"1909061" "Hexacorallia" "Trissopathes pseudotristicha" "undefined" "benthic"
"1909071" "Hydroidolina" "Tubularidae" "undefined" "benthic"
"1909081" "Hexacorallia" "Urticina" "non-bioluminescent" "benthic"
"1951461" "Fishes" "Paraliparis megalopus" "undefined" "benthic"
"1957091" "Hydroidolina" "Anthoathecata" "undefined" "benthic"
"1986251" "Fishes" "Gadiformes" "unlikely" "benthic"
"1999671" "Asterozoa" "Hippasteria phrygiana" "undefined" "benthic"
"2088871" "Echinoidea" "Echinocrepis rostrata" "non-bioluminescent" "benthic"
"2092571" "Annelida" "Acanthohamingia" "non-bioluminescent" "benthic"
"2098141" "Asterozoa" "Ophiomusium" "bioluminescent" "benthic"
"2102551" "Octocorallia" "Alcyoniidae" "undefined" "benthic"
"2102991" "Ascidiacea" "Ascidiacea" "non-bioluminescent" "benthic"
"2122071" "Holothuroidea" "Psychropotes depressa" "bioluminescent" "benthic"
"2123781" "Echinoidea" "Spatangoida" "non-bioluminescent" "benthic"
"2123801" "Annelida" "Terebella" "undefined" "benthic"
"2125591" "Crinoidea" "Bathycrinidae" "undefined" "benthic"
"2186531" "Crustacea" "Lepas" "non-bioluminescent" "pelagic"
"2186661" "Crustacea" "Metacarcinus magister" "non-bioluminescent" "benthic"
"2186801" "Ctenophora" "Bolinopsidae" "bioluminescent" "pelagic"
"2189521" "Cephalopoda" "Opisthoteuthis" "undefined" "benthic"
"2194011" "Fishes" "Careproctus microstomus" "undefined" "benthic"
"2200631" "Fishes" "Paraliparis cephalus" "undefined" "benthic"
"2206431" "Asterozoa" "Echinasteridae" "undefined" "benthic"
"2220831" "Fishes" "Lycodapus mandibularis" "unlikely" "benthic"
"2221981" "Crustacea" "Mysidella americana" "undefined" "benthic"
"2224811" "Octocorallia" "Plexauridae" "undefined" "benthic"
"2244471" "Annelida" "Amphitrite" "undefined" "benthic"
"2245281" "Asterozoa" "Ctenodiscus" "undefined" "benthic"
"2246411" "Annelida" "Nereididae" "undefined" "benthic"
"2247611" "Annelida" "Spionidae" "undefined" "benthic"
"2255431" "Porifera" "Caulophacus" "non-bioluminescent" "benthic"
"2257431" "Fishes" "Gadidae" "undefined" "benthic"
"2259431" "Asterozoa" "Hymenodiscus" "undefined" "benthic"
"2265741" "Octocorallia" "Stylatula" "bioluminescent" "benthic"
"2279701" "Holothuroidea" "Benthodytes sanguinolenta" "likely" "benthic"
"2314891" "Hemichordata" "Enteropneusta" "undefined" "benthic"
"2318951" "Annelida" "Lamellibrachia" "non-bioluminescent" "benthic"
"2319431" "Crustacea" "Munidopsis tiburon" "non-bioluminescent" "benthic"
"2321631" "Crustacea" "Valettiopsis concava" "undefined" "benthic"
"2322701" "Cephalopoda" "Octopodidae" "undefined" "benthic"
"2324401" "Fishes" "Bassozetus nasus" "undefined" "benthic"
"2325431" "Octocorallia" "Pennatulidae" "likely" "benthic"
"2331971" "Cephalopoda" "Benthoctopus robustus" "non-bioluminescent" "benthic"
"2618051" "Fishes" "Aldrovandia" "undefined" "benthic"
"2622461" "Mollusca" "Rubyspira osteovora" "non-bioluminescent" "benthic"
"2622481" "Annelida" "Siboglinidae" "undefined" "benthic"
"2622511" "Scyphozoa" "Stygiomedusa gigantea" "undefined" "pelagic"
"2856801" "Octocorallia" "Pennatulacea sp. 3" "undefined" "benthic"
"2863721" "Hexacorallia" "Dofleinia" "undefined" "benthic"
"2866401" "Crustacea" "Munidopsis albatrossae" "non-bioluminescent" "benthic"
"2874591" "Hexacorallia" "Corallimorphidae" "non-bioluminescent" "benthic"
"2885591" "Octocorallia" "Halipteridae" "undefined" "benthic"
"2898141" "Asterozoa" "Asteriidae" "undefined" "benthic"
"3154321" "Fishes" "Gobiidae" "undefined" "benthic"
"3154351" "Hexacorallia" "Metridium" "non-bioluminescent" "benthic"
"3154441" "Fishes" "Rhinogobiops nicholsii" "undefined" "benthic"
"3159131" "Fishes" "Myxinidae" "non-bioluminescent" "benthic"
"3163231" "Annelida" "Euchone" "undefined" "benthic"
"3172381" "Hexacorallia" "Metridiidae" "undefined" "benthic"
"3178021" "Holothuroidea" "Laetmogone wyvillethomsoni" "likely" "benthic"
"3181921" "Hydroidolina" "Candelabridae sp. 1" "undefined" "benthic"
"3184491" "Mollusca" "Rubyspira" "non-bioluminescent" "benthic"
"3186271" "Crustacea" "Paguristes" "non-bioluminescent" "benthic"
"3187711" "Fishes" "Anarrhichthys ocellatus" "undefined" "benthic"
"3187881" "Fishes" "Cyclopteridae" "undefined" "benthic"
"3188271" "Octocorallia" "Ptilosarcus" "bioluminescent" "benthic"
"3189301" "Mollusca" "Mitrella" "non-bioluminescent" "benthic"
"3189951" "Mollusca" "Yoldia" "non-bioluminescent" "benthic"
"3198041" "Fishes" "Microstomus" "undefined" "benthic"
"3198941" "Fishes" "Careproctus gilberti" "undefined" "benthic"
"3254241" "Crustacea" "Pandalus" "non-bioluminescent" "benthic"
"3266261" "Crustacea" "Gnathophausia ingens" "bioluminescent" "pelagic"
"3271871" "Fishes" "Citharichthys sordidus" "undefined" "benthic"
"3276491" "Fishes" "Argentinidae" "undefined" "benthic"
"3291391" "Fishes" "Agonidae" "undefined" "benthic"
"3291741" "Fishes" "Cottidae" "undefined" "benthic"
"3302741" "Fishes" "Raja" "undefined" "benthic"
"3303011" "Fishes" "Raja stellulata" "undefined" "benthic"
"3305971" "Fishes" "Zaniolepis latipinnis" "undefined" "benthic"
"3309661" "Holothuroidea" "Elasipodida" "undefined" "benthic"
"3325591" "Mollusca" "Polyplacophora" "non-bioluminescent" "benthic"
"3335461" "Fishes" "Somniosus pacificus" "undefined" "benthic"
"3347991" "Mollusca" "Opisthobranchia" "undefined" "benthic"
"3369691" "Fishes" "Squalidae" "undefined" "benthic"
"3372941" "Asterozoa" "Ophiacantha" "bioluminescent" "benthic"
"3374021" "Fishes" "Sebastes aleutianus-melanostictus complex" "non-bioluminescent" "benthic"
"3374881" "Porifera" "Lyssacinosida" "non-bioluminescent" "benthic"
"3383101" "Octocorallia" "Acanthoptilum" "bioluminescent" "benthic"
"3390331" "Fishes" "Sebastes paucispinis" "non-bioluminescent" "benthic"
"3392281" "Crustacea" "Loxorhynchus crispatus" "non-bioluminescent" "benthic"
"3395241" "Cephalopoda" "Rossia pacifica" "non-bioluminescent" "benthic"
"3410641" "Annelida" "Myxicola" "undefined" "benthic"
"3426001" "Fishes" "Hexagrammidae" "undefined" "benthic"
"3436911" "Octocorallia" "Psammogorgia" "undefined" "benthic"
"3439331" "Mollusca" "gastropoda" "undefined" "benthic"
"3467831" "Hydroidolina" "Stylasteridae" "non-bioluminescent" "benthic"
"3504261" "Fishes" "Porichthys notatus" "bioluminescent" "benthic"
"353614" "Asterozoa" "Pedicellaster" "undefined" "benthic"
"360495" "Mollusca" "Vermetidae" "undefined" "benthic"
"365699" "Fishes" "Merluccius" "non-bioluminescent" "benthic"
"366587" "Holothuroidea" "Psolidae" "undefined" "benthic"
"367818" "Octocorallia" "Umbellulidae" "bioluminescent" "benthic"
"368606" "Nemertea" "Nectonemertes" "unlikely" "benthic"
"371085" "Siphonophora" "Apolemia uvaria" "bioluminescent" "pelagic"
